Forecast_Cd,Forecast_Name,fecha,mth,dia_sem,dia_sem_txt,cierre_tj,Cant_Trx,flag_tj_vto,flag_tv_vto,flag_tm_vto,flag_tj_cierre,flag_tv_cierre,flag_tm_cierre
602,ACCESS BANKING,1/1/2012,201201,1,DOM,0,60971,,,,,,
400,ATM,1/1/2012,201201,1,DOM,0,14642,,,,,,
601,CONNECTION BANKING,1/1/2012,201201,1,DOM,0,0,,,,,,
201,HOLA OPERADOR,1/1/2012,201201,1,DOM,0,0,,,,,,
202,IVR,1/1/2012,201201,1,DOM,0,0,,,,,,
500,MOBILE,1/1/2012,201201,1,DOM,0,644,,,,,,
301,QDB,1/1/2012,201201,1,DOM,0,0,,,,,,
100,SUCURSALES,1/1/2012,201201,1,DOM,0,0,,,,,,
302,TAS,1/1/2012,201201,1,DOM,0,0,,,,,,
701,TS,1/1/2012,201201,1,DOM,0,0,,,,,,
602,ACCESS BANKING,1/2/2012,201201,2,LUN,0,263831,,,,,,
400,ATM,1/2/2012,201201,2,LUN,0,56455,,,,,,
601,CONNECTION BANKING,1/2/2012,201201,2,LUN,0,76,,,,,,
201,HOLA OPERADOR,1/2/2012,201201,2,LUN,0,299,,,,,,
202,IVR,1/2/2012,201201,2,LUN,0,0,,,,,,
500,MOBILE,1/2/2012,201201,2,LUN,0,1080,,,,,,
301,QDB,1/2/2012,201201,2,LUN,0,0,,,,,,
100,SUCURSALES,1/2/2012,201201,2,LUN,0,0,,,,,,
302,TAS,1/2/2012,201201,2,LUN,0,0,,,,,,
701,TS,1/2/2012,201201,2,LUN,0,0,,,,,,
602,ACCESS BANKING,1/3/2012,201201,3,MAR,0,570066,,,,,,
400,ATM,1/3/2012,201201,3,MAR,0,87592,,,,,,
601,CONNECTION BANKING,1/3/2012,201201,3,MAR,0,95378,,,,,,
201,HOLA OPERADOR,1/3/2012,201201,3,MAR,0,12182,,,,,,
202,IVR,1/3/2012,201201,3,MAR,0,31615,,,,,,
500,MOBILE,1/3/2012,201201,3,MAR,0,1737,,,,,,
301,QDB,1/3/2012,201201,3,MAR,0,36235,,,,,,
100,SUCURSALES,1/3/2012,201201,3,MAR,0,63135,,,,,,
302,TAS,1/3/2012,201201,3,MAR,0,0,,,,,,
701,TS,1/3/2012,201201,3,MAR,0,0,,,,,,
602,ACCESS BANKING,1/4/2012,201201,4,MIE,0,361738,,,,,,
400,ATM,1/4/2012,201201,4,MIE,0,95498,,,,,,
601,CONNECTION BANKING,1/4/2012,201201,4,MIE,0,51554,,,,,,
201,HOLA OPERADOR,1/4/2012,201201,4,MIE,0,11519,,,,,,
202,IVR,1/4/2012,201201,4,MIE,0,19401,,,,,,
500,MOBILE,1/4/2012,201201,4,MIE,0,2314,,,,,,
301,QDB,1/4/2012,201201,4,MIE,0,31509,,,,,,
100,SUCURSALES,1/4/2012,201201,4,MIE,0,60223,,,,,,
302,TAS,1/4/2012,201201,4,MIE,0,0,,,,,,
701,TS,1/4/2012,201201,4,MIE,0,0,,,,,,
602,ACCESS BANKING,1/5/2012,201201,5,JUE,2,358123,,,,,,
400,ATM,1/5/2012,201201,5,JUE,2,116061,,,,,,
601,CONNECTION BANKING,1/5/2012,201201,5,JUE,2,51508,,,,,,
201,HOLA OPERADOR,1/5/2012,201201,5,JUE,2,11361,,,,,,
202,IVR,1/5/2012,201201,5,JUE,2,19800,,,,,,
500,MOBILE,1/5/2012,201201,5,JUE,2,2291,,,,,,
301,QDB,1/5/2012,201201,5,JUE,2,30171,,,,,,
100,SUCURSALES,1/5/2012,201201,5,JUE,2,56847,,,,,,
302,TAS,1/5/2012,201201,5,JUE,2,0,,,,,,
701,TS,1/5/2012,201201,5,JUE,2,0,,,,,,
602,ACCESS BANKING,1/6/2012,201201,6,VIE,0,300573,,,,,,
400,ATM,1/6/2012,201201,6,VIE,0,108855,,,,,,
601,CONNECTION BANKING,1/6/2012,201201,6,VIE,0,49958,,,,,,
201,HOLA OPERADOR,1/6/2012,201201,6,VIE,0,10242,,,,,,
202,IVR,1/6/2012,201201,6,VIE,0,15642,,,,,,
500,MOBILE,1/6/2012,201201,6,VIE,0,1713,,,,,,
301,QDB,1/6/2012,201201,6,VIE,0,30052,,,,,,
100,SUCURSALES,1/6/2012,201201,6,VIE,0,56207,,,,,,
302,TAS,1/6/2012,201201,6,VIE,0,0,,,,,,
701,TS,1/6/2012,201201,6,VIE,0,0,,,,,,
602,ACCESS BANKING,1/7/2012,201201,7,SAB,0,101065,,,,,,
400,ATM,1/7/2012,201201,7,SAB,0,65015,,,,,,
